,size,beta,value,momentum,reversal,liquidity,skewness,idio,op,inv,roe
0,size__mktCap,beta__D_12M,value__bm,momentum__R12M,reversal__reversal,liquidity__amihud,skewness__skew_1M__D,idio__vol_1M__D,op__op,inv__inv,roe__roe
1,size__mktCap_ff,beta__D_1M,value__logbm,momentum__R3M,,liquidity__ps1,skewness__skew_3M__D,idio__vol_3M__D,,,
2,size__size,beta__D_24M,,momentum__R6M,,liquidity__ps2,skewness__skew_6M__D,idio__vol_6M__D,,,
3,size__size_ff,beta__D_3M,,momentum__R9M,,liquidity__turnover1,skewness__skew_12M__D,idio__vol_12M__D,,,
4,,beta__D_6M,,momentum__mom,,liquidity__turnover2,skewness__skew_24M__D,idio__vol_24M__D,,,
5,,beta__M_12M,,momentum__r12,,liquidity__turnover3,skewness__coskew_1M__D,idio__volss_1M__D,,,
6,,beta__M_24M,,momentum__r6,,liquidity__turnover4,skewness__coskew_3M__D,idio__volss_3M__D,,,
7,,beta__M_36M,,,,,skewness__coskew_6M__D,idio__volss_6M__D,,,
8,,beta__M_60M,,,,,skewness__coskew_12M__D,idio__volss_12M__D,,,
9,,,,,,,skewness__coskew_24M__D,idio__volss_24M__D,,,
10,,,,,,,skewness__idioskew_1M__D,idio__idioVol_capm_1M__D,,,
11,,,,,,,skewness__idioskew_3M__D,idio__idioVol_capm_3M__D,,,
12,,,,,,,skewness__idioskew_6M__D,idio__idioVol_capm_6M__D,,,
13,,,,,,,skewness__idioskew_12M__D,idio__idioVol_capm_12M__D,,,
14,,,,,,,skewness__idioskew_24M__D,idio__idioVol_capm_24M__D,,,
15,,,,,,,skewness__skew_12M__M,idio__idioVol_ff3_1M__D,,,
16,,,,,,,skewness__skew_24M__M,idio__idioVol_ff3_3M__D,,,
17,,,,,,,skewness__skew_36M__M,idio__idioVol_ff3_6M__D,,,
18,,,,,,,skewness__skew_60M__M,idio__idioVol_ff3_12M__D,,,
19,,,,,,,skewness__coskew_12M__M,idio__idioVol_ff3_24M__D,,,
20,,,,,,,skewness__coskew_24M__M,idio__vol_12M__M,,,
21,,,,,,,skewness__coskew_36M__M,idio__vol_24M__M,,,
22,,,,,,,skewness__coskew_60M__M,idio__vol_36M__M,,,
23,,,,,,,skewness__idioskew_12M__M,idio__vol_60M__M,,,
24,,,,,,,skewness__idioskew_24M__M,idio__volss_12M__M,,,
25,,,,,,,skewness__idioskew_36M__M,idio__volss_24M__M,,,
26,,,,,,,skewness__idioskew_60M__M,idio__volss_36M__M,,,
27,,,,,,,,idio__volss_60M__M,,,
28,,,,,,,,idio__idioVol_capm_12M__M,,,
29,,,,,,,,idio__idioVol_capm_24M__M,,,
30,,,,,,,,idio__idioVol_capm_36M__M,,,
31,,,,,,,,idio__idioVol_capm_60M__M,,,
32,,,,,,,,idio__idioVol_ff3_12M__M,,,
33,,,,,,,,idio__idioVol_ff3_24M__M,,,
34,,,,,,,,idio__idioVol_ff3_36M__M,,,
35,,,,,,,,idio__idioVol_ff3_60M__M,,,
36,,,,,,,,idio__idioVol_ffc_12M__M,,,
37,,,,,,,,idio__idioVol_ffc_24M__M,,,
38,,,,,,,,idio__idioVol_ffc_36M__M,,,
39,,,,,,,,idio__idioVol_ffc_60M__M,,,
